codigo_emenda,nome_autor,tipo_autor,partido_autor,codigo_funcao,descricao_funcao,codigo_subfuncao,descricao_subfuncao,codigo_programa,descricao_programa,codigo_acao,descricao_acao,codigo_natureza_despesa,descricao_natureza_despesa,codigo_modalidade,descricao_modalidade,valor_empenhado
42900004-2024,abilio brunini,deputado federal,pl,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,5688792.0
42900006-2024,abilio brunini,deputado federal,pl,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,6000000.0
42900005-2024,abilio brunini,deputado federal,pl,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,5879269.0
42900002-2024,abilio brunini,deputado federal,pl,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,50,transferencias a inst. privadas s/ fins lucrativos,0.0
42900001-2024,abilio brunini,deputado federal,pl,10,saude,301,atencao basica,5119,atencao primaria a saude,8581,estruturacao da rede de servicos de atencao primaria a saude,4,investimentos,41,transferencias a municipios - fundo a fundo,1748960.0
42900005-2024,abilio brunini,deputado federal,pl,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,31,transferencias a estados e df - fundo a fundo,2300000.0
42900007-2024,abilio brunini,deputado federal,pl,12,educacao,365,educacao infantil,5111,"educacao basica democratica, com qualidade e equidade",00su,apoio a implantacao de escolas para educacao infantil,4,investimentos,40,transferencias a municipios,0.0
42900006-2024,abilio brunini,deputado federal,pl,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,30,transferencias a estados e ao distrito federal,1735793.0
42900009-2024,abilio brunini,deputado federal,pl,27,desporto e lazer,812,desporto comunitario,5126,esporte para a vida,20jq,"apoio a realizacao de eventos de esporte amador, educacional, de lazer e inclusao social",3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,1050000.0
42900006-2024,abilio brunini,deputado federal,pl,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,750000.0
42900008-2024,abilio brunini,deputado federal,pl,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,500000.0
42900010-2024,abilio brunini,deputado federal,pl,05,defesa nacional,152,defesa naval,6112,defesa nacional,21a0,aprestamento das forcas - manutencao da prontidao e da capacidade operativa,4,investimentos,90,aplicacoes diretas,0.0
42900002-2024,abilio brunini,deputado federal,pl,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,31,transferencias a estados e df - fundo a fundo,0.0
42900002-2024,abilio brunini,deputado federal,pl,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,41,transferencias a municipios - fundo a fundo,253705.0
38970001-2024,acacio favacho,deputado federal,mdb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,1000000.0
38970003-2024,acacio favacho,deputado federal,mdb,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,31,transferencias a estados e df - fundo a fundo,10000000.0
38970004-2024,acacio favacho,deputado federal,mdb,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,7938793.0
38970002-2024,acacio favacho,deputado federal,mdb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,332792.0
38970002-2024,acacio favacho,deputado federal,mdb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,30,transferencias a estados e ao distrito federal,0.0
38970004-2024,acacio favacho,deputado federal,mdb,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,1000000.0
38970006-2024,acacio favacho,deputado federal,mdb,27,desporto e lazer,812,desporto comunitario,5126,esporte para a vida,20jp,"desenvolvimento de atividades e apoio a programas e projetos de esporte amador, educacao, lazer e inclusao social",3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,1000000.0
38970005-2024,acacio favacho,deputado federal,mdb,12,educacao,364,ensino superior,5113,"educacao superior: qualidade, democracia, equidade e sustentabilidade",20rk,funcionamento de instituicoes federais de ensino superior,3,outras despesas correntes,90,aplicacoes diretas,0.0
38970002-2024,acacio favacho,deputado federal,mdb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,0.0
42910002-2024,adail filho,deputado federal,prb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,13034456.0
42910001-2024,adail filho,deputado federal,prb,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,31,transferencias a estados e df - fundo a fundo,11000000.0
42910005-2024,adail filho,deputado federal,prb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,5400000.0
42910003-2024,adail filho,deputado federal,prb,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,4500000.0
42910001-2024,adail filho,deputado federal,prb,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,3737129.0
42910004-2024,adail filho,deputado federal,prb,12,educacao,363,ensino profissional,5112,educacao profissional e tecnologica que transforma,20rg,"reestruturacao e modernizacao das instituicoes da rede federal de educacao profissional, cientifica e tecnologica",3,outras despesas correntes,90,aplicacoes diretas,0.0
42920002-2024,adilson barroso,deputado federal,pl,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,30,transferencias a estados e ao distrito federal,10275785.0
42920007-2024,adilson barroso,deputado federal,pl,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,6387800.0
42920004-2024,adilson barroso,deputado federal,pl,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,3630000.0
42920001-2024,adilson barroso,deputado federal,pl,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,3600000.0
42920005-2024,adilson barroso,deputado federal,pl,10,saude,301,atencao basica,5119,atencao primaria a saude,8581,estruturacao da rede de servicos de atencao primaria a saude,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,0.0
42920009-2024,adilson barroso,deputado federal,pl,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,2245000.0
42920007-2024,adilson barroso,deputado federal,pl,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,31,transferencias a estados e df - fundo a fundo,2100000.0
42920006-2024,adilson barroso,deputado federal,pl,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,1850000.0
42920002-2024,adilson barroso,deputado federal,pl,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,1640000.0
42920003-2024,adilson barroso,deputado federal,pl,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,1568000.0
42920005-2024,adilson barroso,deputado federal,pl,10,saude,301,atencao basica,5119,atencao primaria a saude,8581,estruturacao da rede de servicos de atencao primaria a saude,4,investimentos,41,transferencias a municipios - fundo a fundo,1099812.0
42920008-2024,adilson barroso,deputado federal,pl,27,desporto e lazer,812,desporto comunitario,5126,esporte para a vida,20jp,"desenvolvimento de atividades e apoio a programas e projetos de esporte amador, educacao, lazer e inclusao social",3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,475000.0
42920010-2024,adilson barroso,deputado federal,pl,05,defesa nacional,571,desenvolvimento cientifico,6113,"oceano, zona costeira e antartica",2518,apoio a pesquisa e ao monitoramento oceanografico e climatologico da amazonia azul,3,outras despesas correntes,90,aplicacoes diretas,150080.6
42920012-2024,adilson barroso,deputado federal,pl,05,defesa nacional,152,defesa naval,6112,defesa nacional,21a0,aprestamento das forcas - manutencao da prontidao e da capacidade operativa,3,outras despesas correntes,90,aplicacoes diretas,206785.004855
42920011-2024,adilson barroso,deputado federal,pl,05,defesa nacional,542,controle ambiental,6111,cooperacao da defesa para o desenvolvimento nacional,20x4,manutencao e aprimoramento do centro gestor e operacional do sistema de protecao da amazonia - censipam,4,investimentos,90,aplicacoes diretas,0.0
42920010-2024,adilson barroso,deputado federal,pl,05,defesa nacional,571,desenvolvimento cientifico,6113,"oceano, zona costeira e antartica",2518,apoio a pesquisa e ao monitoramento oceanografico e climatologico da amazonia azul,4,investimentos,90,aplicacoes diretas,30000.0
38980005-2024,adolfo viana,deputado federal,psdb,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,12000000.0
38980010-2024,adolfo viana,deputado federal,psdb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,11000000.0
